date,value
2018-10-13 05:53:53 +0100,0
2018-10-16 06:26:10 +0100,14
2018-10-19 07:06:25 +0100,14
2018-10-22 07:10:20 +0100,14
2018-10-25 06:00:59 +0100,14
2018-10-28 05:13:53 +0000,14
2018-11-01 06:49:27 +0000,14
2018-11-04 06:12:54 +0000,14
2018-11-07 06:03:06 +0000,14
2018-11-10 06:10:02 +0000,14
2018-11-13 06:13:10 +0000,14
2018-11-16 06:06:18 +0000,14
2018-11-19 06:13:27 +0000,14
2018-11-22 06:43:41 +0000,14
2018-11-25 06:14:56 +0000,14
2018-12-01 06:23:51 +0000,14
2018-12-04 07:04:53 +0000,14
2018-12-07 06:14:22 +0000,14
2018-12-10 06:27:57 +0000,14
2018-12-13 06:31:09 +0000,14
2018-12-16 06:21:57 +0000,14
2018-12-19 06:31:52 +0000,20
2018-12-22 06:31:39 +0000,20
2018-12-25 06:50:52 +0000,20
2018-12-28 07:09:18 +0000,20
2019-01-01 06:51:12 +0000,20
2019-01-04 07:45:52 +0000,20
2019-01-07 06:36:52 +0000,20
2019-01-10 07:00:20 +0000,20
2019-01-13 06:51:08 +0000,20
2019-01-16 06:18:52 +0000,20
2019-01-25 06:27:52 +0000,20
2019-01-28 06:20:04 +0000,20
2019-02-01 06:43:11 +0000,20
2019-02-04 06:46:59 +0000,20
2019-02-07 06:28:15 +0000,20
2019-02-10 07:01:57 +0000,20
2019-02-13 06:35:54 +0000,20
2019-02-19 07:05:30 +0000,20
2019-02-22 06:55:53 +0000,20
2019-02-25 06:38:05 +0000,20
2019-03-01 06:43:32 +0000,20
2019-03-04 07:01:27 +0000,20
2019-03-07 07:15:07 +0000,20
2019-03-10 06:41:23 +0000,20
2019-03-13 06:35:04 +0000,20
2019-03-16 06:34:51 +0000,28
2019-03-19 06:42:23 +0000,28
2019-03-22 06:58:13 +0000,28
2019-03-25 06:50:58 +0000,28
2019-03-28 07:47:59 +0000,28
2019-04-01 07:40:45 +0100,28
2019-04-04 06:42:25 +0100,28
2019-04-07 06:51:48 +0100,28
2019-04-10 06:56:15 +0100,28
2019-04-16 11:24:05 +0100,28
2019-04-19 07:16:50 +0100,28
2019-04-22 07:00:26 +0100,28
2019-05-01 07:20:31 +0100,34
2019-05-04 07:15:27 +0100,34
2019-05-07 07:29:37 +0100,34
2019-05-10 07:10:29 +0100,34
2019-05-13 07:01:24 +0100,34
2019-05-16 07:14:22 +0100,34
2019-05-19 06:46:07 +0100,34
2019-05-22 07:06:31 +0100,34
2019-05-25 07:04:15 +0100,34
2019-06-01 06:56:39 +0100,34
2019-06-04 06:58:16 +0100,34
2019-06-07 07:01:51 +0100,34
